Signal Type,Symbol,Frequency,Huffman Code,Code Length
Silence / Low Variation,128,16000,0,1
Sine Wave,25,80,01110001,8
Sine Wave,26,640,01111,5
Sine Wave,27,320,100100,6
Sine Wave,28,160,1010011,7
Sine Wave,29,160,000100,6
Sine Wave,30,320,100010,6
Sine Wave,32,160,1110001,7
Sine Wave,33,160,010011,6
Sine Wave,34,160,1100011,7
Sine Wave,35,160,000101,6
Sine Wave,37,160,1010100,7
Sine Wave,38,160,1110101,7
Sine Wave,40,160,1110100,7
Sine Wave,41,160,1010010,7
Sine Wave,43,160,000011,6
Sine Wave,45,160,1100010,7
Sine Wave,47,160,010010,6
Sine Wave,49,160,1110000,7
Sine Wave,51,160,010100,6
Sine Wave,53,160,1100100,7
Sine Wave,55,160,000110,6
Sine Wave,58,160,1010101,7
Sine Wave,60,160,1110110,7
Sine Wave,62,160,1110011,7
Sine Wave,65,160,1010001,7
Sine Wave,68,160,000010,6
Sine Wave,70,160,1100001,7
Sine Wave,73,160,010001,6
Sine Wave,76,160,1101111,7
Sine Wave,78,160,010101,6
Sine Wave,81,160,1100101,7
Sine Wave,84,160,000111,6
Sine Wave,87,160,1010110,7
Sine Wave,90,160,1110111,7
Sine Wave,93,160,1110010,7
Sine Wave,96,160,1010000,7
Sine Wave,99,160,000001,6
Sine Wave,102,160,1100000,7
Sine Wave,105,160,010000,6
Sine Wave,108,160,1101110,7
Sine Wave,112,160,010110,6
Sine Wave,115,160,1100110,7
Sine Wave,118,160,001000,6
Sine Wave,121,160,1010111,7
Sine Wave,124,160,1111000,7
Sine Wave,127,81,0110111,7
Sine Wave,128,79,01110000,8
Sine Wave,131,160,1001111,7
Sine Wave,134,160,000000,6
Sine Wave,137,160,1011111,7
Sine Wave,140,160,001111,6
Sine Wave,143,160,1101101,7
Sine Wave,147,160,010111,6
Sine Wave,150,160,1100111,7
Sine Wave,153,160,001001,6
Sine Wave,156,160,1011000,7
Sine Wave,159,160,1111001,7
Sine Wave,162,160,0111001,7
Sine Wave,165,160,1001110,7
Sine Wave,168,160,1111111,7
Sine Wave,171,160,1011110,7
Sine Wave,174,160,001110,6
Sine Wave,177,160,1101100,7
Sine Wave,179,160,011000,6
Sine Wave,182,160,1101000,7
Sine Wave,185,160,001010,6
Sine Wave,187,160,1011001,7
Sine Wave,190,160,1111010,7
Sine Wave,193,160,1001010,7
Sine Wave,195,160,1001101,7
Sine Wave,197,160,1111110,7
Sine Wave,200,160,1011101,7
Sine Wave,202,160,001101,6
Sine Wave,204,160,1101011,7
Sine Wave,206,160,011001,6
Sine Wave,208,160,1101001,7
Sine Wave,210,160,001011,6
Sine Wave,212,160,1011010,7
Sine Wave,214,160,1111011,7
Sine Wave,215,160,1001011,7
Sine Wave,217,160,1001100,7
Sine Wave,218,160,1111101,7
Sine Wave,220,160,1011100,7
Sine Wave,221,160,001100,6
Sine Wave,222,160,1101010,7
Sine Wave,223,160,011010,6
Sine Wave,225,320,100011,6
Sine Wave,226,160,1011011,7
Sine Wave,227,160,1111100,7
Sine Wave,228,320,011101,6
Sine Wave,229,640,10000,5
Sine Wave,230,80,0110110,7
Square Wave,25,8001,1,1
Square Wave,230,7999,0,1
Sawtooth Wave,25,61,01110000,8
Sawtooth Wave,26,18,0110111010,10
Sawtooth Wave,27,80,0101110,7
Sawtooth Wave,28,80,11000011,8
