Signal Type,Symbol,Frequency,Huffman Code,Code Length
Silence / Low Variation,128,16000,0,1
Sine Wave,0,400,01100,5
Sine Wave,1,320,011110,6
Sine Wave,2,320,100000,6
Sine Wave,3,160,1001100,7
Sine Wave,4,160,1111111,7
Sine Wave,5,160,1011100,7
Sine Wave,6,160,001111,6
Sine Wave,8,160,1101100,7
Sine Wave,9,160,010000,6
Sine Wave,10,160,1011101,7
Sine Wave,12,160,000000,6
Sine Wave,14,160,1001101,7
Sine Wave,16,160,1110000,7
Sine Wave,18,160,1101111,7
Sine Wave,20,160,1001011,7
Sine Wave,22,160,1111110,7
Sine Wave,24,160,1011011,7
Sine Wave,27,160,001110,6
Sine Wave,29,160,1101011,7
Sine Wave,32,160,010001,6
Sine Wave,35,160,1011110,7
Sine Wave,37,160,000001,6
Sine Wave,40,160,1001110,7
Sine Wave,43,160,1110001,7
Sine Wave,46,160,1101110,7
Sine Wave,49,160,1001010,7
Sine Wave,53,160,1111101,7
Sine Wave,56,160,1011010,7
Sine Wave,59,160,001101,6
Sine Wave,63,160,1101010,7
Sine Wave,66,160,010010,6
Sine Wave,70,160,1011111,7
Sine Wave,73,160,000010,6
Sine Wave,77,160,1001111,7
Sine Wave,81,160,1110010,7
Sine Wave,84,160,1101101,7
Sine Wave,88,160,1001001,7
Sine Wave,92,160,1111100,7
Sine Wave,96,160,1011001,7
Sine Wave,100,160,001100,6
Sine Wave,104,160,1101001,7
Sine Wave,108,160,010011,6
Sine Wave,112,160,1100000,7
Sine Wave,116,160,000011,6
Sine Wave,119,160,1010000,7
Sine Wave,123,160,1110011,7
Sine Wave,127,81,0111001,7
Sine Wave,128,79,0111000,7
Sine Wave,132,160,1001000,7
Sine Wave,136,160,1111011,7
Sine Wave,139,160,1011000,7
Sine Wave,143,160,001011,6
Sine Wave,147,160,1101000,7
Sine Wave,151,160,010100,6
Sine Wave,155,160,1100001,7
Sine Wave,159,160,000100,6
Sine Wave,163,160,1010001,7
Sine Wave,167,160,1110100,7
Sine Wave,171,160,1000010,7
Sine Wave,174,160,1000111,7
Sine Wave,178,160,1111010,7
Sine Wave,182,160,1010111,7
Sine Wave,185,160,001010,6
Sine Wave,189,160,1100111,7
Sine Wave,192,160,010101,6
Sine Wave,196,160,1100010,7
Sine Wave,199,160,000101,6
Sine Wave,202,160,1010010,7
Sine Wave,206,160,1110101,7
Sine Wave,209,160,1000011,7
Sine Wave,212,160,1000110,7
Sine Wave,215,160,1111001,7
Sine Wave,218,160,1010110,7
Sine Wave,220,160,001001,6
Sine Wave,223,160,1100110,7
Sine Wave,226,160,010110,6
Sine Wave,228,160,1100011,7
Sine Wave,231,160,000110,6
Sine Wave,233,160,1010011,7
Sine Wave,235,160,1110110,7
Sine Wave,237,160,1000100,7
Sine Wave,239,160,1000101,7
Sine Wave,241,160,1111000,7
Sine Wave,243,160,1010101,7
Sine Wave,245,160,001000,6
Sine Wave,246,160,1100101,7
Sine Wave,247,160,010111,6
Sine Wave,249,160,1100100,7
Sine Wave,250,160,000111,6
Sine Wave,251,160,1010100,7
Sine Wave,252,160,1110111,7
Sine Wave,253,320,011101,6
Sine Wave,254,320,011111,6
Sine Wave,255,400,01101,5
Square Wave,0,8001,1,1
Square Wave,255,7999,0,1
Sawtooth Wave,0,79,01110011,8
Sawtooth Wave,1,80,0101101,7
Sawtooth Wave,3,80,11000011,8
Sawtooth Wave,4,80,0011011,7
Sawtooth Wave,5,80,10110010,8
Sawtooth Wave,6,80,0001010,7
Sawtooth Wave,8,80,10100000,8
Sawtooth Wave,9,80,11111000,8
Sawtooth Wave,10,80,10001111,8
Sawtooth Wave,11,80,11100111,8
Sawtooth Wave,13,80,01111101,8
Sawtooth Wave,14,80,11010101,8
Sawtooth Wave,15,80,0101110,7
Sawtooth Wave,17,80,11000100,8
Sawtooth Wave,18,80,0011100,7
Sawtooth Wave,19,80,10110011,8
Sawtooth Wave,20,80,0001011,7
Sawtooth Wave,22,80,10100001,8
Sawtooth Wave,23,80,11111001,8
Sawtooth Wave,24,80,10010000,8
Sawtooth Wave,25,16,0110110101,10
Sawtooth Wave,26,64,01110000,8
Sawtooth Wave,27,80,01111110,8
Sawtooth Wave,28,80,11010110,8
Sawtooth Wave,29,80,0101111,7
Sawtooth Wave,31,80,11000101,8
Sawtooth Wave,32,80,0011101,7
Sawtooth Wave,33,80,10110100,8
Sawtooth Wave,34,80,0001100,7
Sawtooth Wave,36,80,10100010,8
Sawtooth Wave,37,80,11111010,8
Sawtooth Wave,38,80,10010001,8
Sawtooth Wave,40,80,11101000,8
Sawtooth Wave,41,80,01111111,8
